mode,question_hash,ts,question_text,computed_answer,chosen_option,correct
runtunan,757af580a89ca84ec6898fb0ef0d198954e224fdabeba94a6b51bc5e5297c7eb,2025-08-24T04:50:17.272527Z,"m <- 9
n <- 3
c <- m/n
cetak (c)
m <- m-n
cetak (m)
Apa yang tampil di layar?",3 6, 3 6,True
percabangan,5bc87a368736f4352d4165aae3b2eba48c201cd5b9d407c70a72d77606273812,2025-08-24T04:50:17.779628Z,"a <- 22
b <- 17
IF a > b THEN
cetak (a - b)
Apa yang tampil di layar?",5, 5,True
runtunan,16f96dc6b85e87b7fddc17535ce533fd978b068dd14c0d30e6c3151aa786eb20,2025-08-24T04:50:17.785320Z,"p <- 8
q <- 3
cetak (p)
q <- p - q
cetak (q)
Apa yang tampil di layar?",8 5, 8 5,True
percabangan,7c2e79ef9b11292f6c4598d95efc9e1eeaafdbb381a16241031d8562a5a7b881,2025-08-24T04:50:18.266642Z,"x <- 9
y <- 3
IF x - y > 5 THEN {
cetak (x)
cetak (y)
}
Apa yang tampil di layar?",9 3, 3 9,False
runtunan,8b54c1eecb273679aafa0ac99b4f878d3ae0ab75d82ba301553e398194ef5acf,2025-08-24T04:50:18.994528Z,"komputer <- 8
mouse <- 2
cetak (komputer)
cetak (mouse)
cetak (komputer / mouse)
Apa yang tampil di layar?",8 2 4, 8 2 4,True
runtunan,8cb1d25c6076c362b63a21589fc698a8add5b5c5106a23c6f593fad891413966,2025-08-24T04:50:19.643393Z,"kursi <- 10
lampu <- 5
cetak (kursi - lampu)
kursi <- kursi + lampu
cetak (kursi)
Apa yang tampil di layar?",5 15, 15 5,False
percabangan,7e6403d3f3ca6ede196797b5b903ead224c57f8b066e68c1f3f4f217d8cb50a6,2025-08-24T04:50:20.118265Z,"a <- 12
b <- 15
IF a > b THEN
cetak (a - b)
ELSE
cetak (b - a)
Apa yang tampil di layar?",3, 3,True
runtunan,514bbec8387c71f63ffeb6dac7c3ed13bde686ac9a6c25b13b0b12607fcfb140,2025-08-24T04:50:21.424322Z,"v <- 4
w <- 5
cetak (v * w)
v <- v + w
cetak (v)
Apa yang tampil di layar?",20 9, 20 9,True
runtunan,a2e0a8a314458e4a704932e1c40fa05570b9c243d5d6f42f472a468599a92e08,2025-08-24T04:50:21.681385Z,"k <- 9
l <- 5
cetak (k)
k <- k - l
cetak (k)
l <- l + k
cetak (l)
Apa yang tampil di layar?",9 4 9, 9 4 9,True
percabangan,612feae17e97db312102cf348a2d03039de6f097f04ba116ef722352d043fdf3,2025-08-24T04:50:21.852603Z,"p <- 7
q <- 2
IF p - q > 4 THEN {
cetak(p + q)
} ELSE {
cetak(p * q)
}
Apa yang tampil di layar?",9 14,10,False
percabangan,f472e11fe4a7ba2a3fdf34d7248bf3c3152567959703fedade9cc30ad9ec8146,2025-08-24T04:50:21.875057Z,"x <- 12
y <- 4
IF x / y = 3 THEN {
cetak (x)
cetak (y)
cetak (x - y)
}
Apa yang tampil di layar?",12 4 8, 12 4 8,True
runtunan,dc1c45fb855c3acf25af7ff9461ebca1bca715d3f14b620eecd058917f384bcc,2025-08-24T04:50:23.117825Z,"p <- 7
q <- 3
r <- p + q
cetak (r)
q <- r - p
cetak (q)
Apa yang tampil di layar?",10 3, 3 10,False
runtunan,1b66457f9362a0bdbf4e7e449efcfc967beee360d58480b5a799a44a52728199,2025-08-24T04:50:23.477992Z,"x <- 20
y <- 10
cetak (x-y)
y <- y*2
cetak (y)
Apa yang tampil di layar?",10 20, 20 10,False
percabangan,bde372ce41e666c2ae50c5c46bbb2f3747b6fe80d0fbcd450c432933f5072b2c,2025-08-24T04:50:23.616788Z,"x <- 10
y <- 5
IF x > y THEN {
cetak (x)
cetak (x / y)
}
Apa yang tampil di layar?",10 2, 2 10,False
percabangan,497c9084b5ebcd42cdf8738ad3cbc88914239a7daa74c41fb8a6464fdaed2f1a,2025-08-24T04:50:24.297604Z,"m <- 10
n <- 5
IF m / n = 2 THEN
cetak(m + n)
ELSE
cetak(m * n)
Apa yang tampil di layar?",15, 15,True
runtunan,ffc8b655632bb9d5af2817010fa021125f80db3f4aa8ad61418b3ff33040a99f,2025-08-24T04:50:25.245465Z,"x <- 6
y <- 4
cetak (x)
x <- x / 2
cetak (x)
y <- y + x
cetak (y)
Apa yang tampil di layar?",6 3 7, 6 3 7,True
percabangan,560963deeea44f77c1d222a49c22c8940b3df120c9089d34e885834ee626b908,2025-08-24T04:50:25.256229Z,"p <- 10
q <- 2
IF p / q = 5 THEN {
cetak (p)
cetak (q)
cetak (p * q)
}
Apa yang tampil di layar?",10 2 20, 10 2 20,True
runtunan,670dadaf52959cc5203b8970b09e254fe18fb1f7abfb9041f63266fba9619d26,2025-08-24T04:50:25.267042Z,"lampu <- 6
meja <- 3
cetak (lampu + meja)
cetak (lampu)
Apa yang tampil di layar?",9 6, 9 6,True
percabangan,939a56f446f840b7a94688ab1d45f05e68f02ec9cfcdda724ab23c9dbe1c6818,2025-08-24T04:50:26.401430Z,"p <- 5
q <- 5
cetak(p + q)
IF p = q THEN {
cetak(p * q)
}
Apa yang tampil di layar?",10 25, 25 10,False
runtunan,903a18ec31bb7bc4d7658fd237f1f48f91e735c8f2a9212b89475352ddd8829f,2025-08-24T04:50:26.977339Z,"a <- 3
b <- 4
cetak (a)
a <- a + b
cetak (b)
Apa yang tampil di layar?",3 4, 4 3,False
runtunan,fb84660f0c77f5400b2af0fc447e28a4d5226e970e6a345b3e068bf0b4a32c76,2025-08-24T04:50:27.088954Z,"p <- 5
q <- 9
cetak (q - p)
p <- p * 2
cetak (p)
Apa yang tampil di layar?",4 10, 4 10,True
percabangan,8cf5b018ec2f4038859fcb1963fae7cf1af23947328fac5d4921d3f4e7df0585,2025-08-24T04:50:27.099372Z,"a <- 6
b <- 2
IF a > b THEN {
cetak(a * b)
}
cetak(a + b)
Apa yang tampil di layar?",12 8, 8 12,False
percabangan,efe7dd13855bfdebdbdf35748a9b85f3e0d0e54aedd9be0a112cd60acad88854,2025-08-24T04:50:28.380728Z,"m <- 9
n <- 3
IF m - n < 5 THEN {
cetak(m / n)
} ELSE {
cetak(m + n)
}
Apa yang tampil di layar?",Tidak ada output, Tidak ada output,False
runtunan,40bbbd48571c72e9f2add00cd305b58cfab1ea2d5fa147cf1ba5014f0b12a8c6,2025-08-24T04:50:28.591221Z,"rumah <- 7
pohon <- 2
cetak (rumah)
rumah <- rumah + pohon
cetak (rumah)
cetak (pohon)
Apa yang tampil di layar?",7 9 2, 7 9 2,True
percabangan,7581e3353bd7550ed61b878461796f0be8d63f0cee2bd40dfe09d5e5df7f101d,2025-08-24T04:50:28.752902Z,"m <- 4
n <- 16
IF m < n THEN {
cetak (n)
cetak (n / m)
}
Apa yang tampil di layar?",16 4, 16 4.0,True
runtunan,e168df02976abad6178d44f82a24c1ea02235cbfc3b50cd04a2ec439c329b64d,2025-08-24T04:50:28.774380Z,"bola <- 2
meja <- 7
kotak <- bola + meja
cetak (kotak)
bola <- kotak - meja
cetak (bola)
Apa yang tampil di layar?",9 2, 2 9,False
percabangan,88063eebabf5ab870b853628eafd8320e45356f7bea90974a04a46444173131c,2025-08-24T04:50:30.071833Z,"x <- 8
y <- 3
IF x > y THEN {
cetak(x)
} ELSE {
cetak(y)
}
Apa yang tampil di layar?",8 3,8,True
runtunan,57ed83484a851536ad705ed3e2651f78cea4a0f7878475916b1f134f3b63deab,2025-08-24T04:50:30.235658Z,"kursi <- 9
meja <- 6
cetak (kursi)
kursi <- kursi - meja
cetak (kursi)
cetak (meja)
Apa yang tampil di layar?",9 3 6, 9 3 6,True
percabangan,d3b2c1988cd728ff5a6e032b7164911598cd1514df4cb44196ccdececeebb141,2025-08-24T04:50:30.375307Z,"p <- 4
q <- 6
IF p + q = 10 THEN
cetak(p * q)
ELSE
cetak(q - p)
Apa yang tampil di layar?",24, 24,True
runtunan,a0345faf37b4b80522439990c781e90eb339802f34ed9348aae0081af4d18c94,2025-08-24T04:50:30.539442Z,"p <- 8
q <- 2
r <- p / q
cetak (r)
q <- q + r
cetak (q)
Apa yang tampil di layar?",4 6, 6 4,False
percabangan,7fc6d0edff3b1a3dcf93a9be99237605ec777946a35b52e57fa85ad9d6dd2d69,2025-08-24T04:50:32.049237Z,"p <- 21
q <- 21
IF p = q THEN
cetak (p + q)
Apa yang tampil di layar?",42, 42,True
runtunan,5fff405a326795da0f6820b8725572fa1c2214a264886e5952335035d7eb3adf,2025-08-24T04:50:32.267649Z,"a <- 2
b <- 3
c <- a*b
cetak (c)
a <- c-a
cetak (a)
Apa yang tampil di layar?",6 4, 6 4,True
runtunan,0c757a063670635964e1ce6d87559d76c9df2b7f730ac764b4ac3ca3a1a8cde7,2025-08-24T04:50:32.399383Z,"a <- 5
b <- 6
cetak (a + b)
a <- a - b
cetak (a)
Apa yang tampil di layar?",11 -1, 11 -1,True
percabangan,f1181585585be28d04045bde6d333c1cf4f9e3bc242437d0ca754de7fddc8969,2025-08-24T04:50:32.859504Z,"p <- 3
q <- 1
IF p > q THEN {
cetak (p)
cetak (q)
cetak (p + q)
}
Apa yang tampil di layar?",3 1 4, 3 1 4,True
runtunan,1aa647accf0b9194436c4168aaa37e1a594f84257ce4b04b028562183a1f325f,2025-08-24T04:50:34.097714Z,"a <- 5
b <- 2
c <- a - b
cetak (c)
a <- c * b
cetak (a)
Apa yang tampil di layar?",3 6, 3 6,True
runtunan,2c94e6b2b4b7d64641a03172fa622f7574cab00ba5b100f11e4d8cfc7adac81c,2025-08-24T04:50:34.111096Z,"m <- 13
n <- 5
cetak (m - n)
m <- n + 2
cetak (m)
Apa yang tampil di layar?",8 7, 7 8,False
percabangan,c739a6f474b64713d887d123e9aeba12d1c6d980726a37cb2ecdeaf81e73d3ce,2025-08-24T04:50:34.333768Z,"x <- 12
y <- 4
IF x / y = 3 THEN {
cetak(x)
}
cetak(x - y)
Apa yang tampil di layar?",12 8, 12 8,True
runtunan,30d0e323de0d97c6c98eb4eb3776f30e3d53a43f4c0c4dd2f56b0e23f9c72375,2025-08-24T04:50:35.909102Z,"a <- 6
b <- 9
cetak (b - a)
a <- a + 3
cetak (a)
Apa yang tampil di layar?",3 9, 9 3,False
runtunan,c5e598c970e5cf656dd38a75e58b4b05e6f71846ad01dee61bd6308519e52ebd,2025-08-24T04:50:36.053668Z,"komputer <- 8
mouse <- 4
cetak (komputer)
komputer <- komputer + mouse
cetak (komputer / 2)
Apa yang tampil di layar?",8 6, 8 6,True
percabangan,9d8d2672a717a96b5f4e68a969c0430953c43fde9e8c32848a8b03ada0207a85,2025-08-24T04:50:36.063006Z,"a <- 3
b <- 5
IF a + b < 10 THEN
cetak (b - a)
Apa yang tampil di layar?",2, 2,True
runtunan,1794133870a6318463aad217d6086045d45a627de43b7098f13299a591e47a99,2025-08-24T04:50:37.634717Z,"kucing <- 5
anjing <- 3
cetak (kucing + anjing)
kucing <- kucing - anjing
cetak (kucing)
Apa yang tampil di layar?",8 2, 2 8,False
runtunan,ffee886ea0d484f237122ec47e34455cb34050c2e02546d82bf1fd3832838f3e,2025-08-24T04:50:37.723800Z,"m <- 1
n <- 2
o <- 3
cetak (m+n+o)
n <- o
cetak (n)
Apa yang tampil di layar?",6 3, 3 6,False
percabangan,f472367b24541bf9fa0e976f8c3ab8dc75a6ba92e20736d088299532a5e7287a,2025-08-24T04:50:38.395071Z,"m <- 9
n <- 3
IF m - n > 5 THEN
cetak(m + n)
ELSE
cetak(m * n)
Apa yang tampil di layar?",12, 12,True
percabangan,b2adf1f8f7ba522b5471ec25992c0a2299f121caec38a31c6f7c2d154e2ecfb2,2025-08-24T04:50:40.053885Z,"m <- 4
n <- 9
IF m = n THEN
cetak (m + n)
Apa yang tampil di layar?",Tidak ada output, Tidak ada output,True
runtunan,6ea9cab0a18a6dc8a4ca940cb7b00c36c67e38f3c33aac5f89c515bcb2b63c75,2025-08-24T04:50:40.214282Z,"a <- 8
b <- 2
cetak (a / b)
b <- b + a
cetak (b)
Apa yang tampil di layar?",4 10, 4 10,True
runtunan,55d079e5a74044f4aa3ce292b73bd421436cd74c41491eefd5226680c02ae6ac,2025-08-24T04:50:40.356601Z,"s <- 9
t <- 5
cetak (s)
s <- s / t
cetak (s)
Apa yang tampil di layar?",9 1.8, 9 5,False
percabangan,e2aed988a6f790c5326759299f3bac31954c6825486e5b18bd0cda9673cd7db2,2025-08-24T04:50:41.430623Z,"x <- 4
y <- 7
cetak (x)
IF x < y THEN
cetak (y)
Apa yang tampil di layar?",4 7, 7 4,False
runtunan,e275a6e708d45e10f8ea439e71a826fb4675cd996355f269d3a428df78ddf8f7,2025-08-24T04:50:42.737332Z,"x <- 10
y <- 4
cetak (x - y)
x <- x + y
cetak (x)
Apa yang tampil di layar?",6 14, 14 6,False
runtunan,dc488256bcf25a57e86d32949d9bf9a23ad2a5bc59fe0440ac6939bbce4d5e77,2025-08-24T04:50:42.744534Z,"x <- 4
y <- 6
z <- x * y
cetak (z)
y <- z - x
cetak (y)
Apa yang tampil di layar?",24 20, 20 24,False
percabangan,c5e0e04f304437f12b60f52d293c1510f447026175b7cf98142e4dfc137fc643,2025-08-24T04:50:43.188835Z,"p <- 10
q <- 2
cetak(p / q)
IF p / q = 5 THEN {
cetak(p * q)
}
Apa yang tampil di layar?",5 20, 5 20,True
runtunan,6a86122b51369055cdf3667abb3bcea26d130fedadba2a6e41e926bd5dc1b1e9,2025-08-24T04:50:44.551203Z,"rumah <- 8
pohon <- 3
cetak (rumah)
rumah <- rumah - pohon
cetak (rumah)
cetak (pohon)
Apa yang tampil di layar?",8 5 3, 8 5 3,True
runtunan,f1999471f6627db229599a44ee289c2945156fb0fc78a0d76726336a6442526a,2025-08-24T04:50:44.713235Z,"p <- 4
q <- 6
cetak (q-p)
p <- p+q
cetak (p)
Apa yang tampil di layar?",2 10, 2 10,True
percabangan,f737db9e033161bb952045f16a6e44e9102b50c3de2f018cb8b56716a7007f23,2025-08-24T04:50:45.019576Z,"x <- 3
y <- 3
IF x = y THEN {
cetak (x)
cetak (y)
cetak (x * y)
}
Apa yang tampil di layar?",3 3 9, 3 3 9,True
percabangan,cf09690fd62c505d131546e9acaa245eef77522fc007795e18efad733e1e8f07,2025-08-24T04:50:46.082138Z,"m <- 4
n <- 10
IF m < n THEN
cetak (n / m)
Apa yang tampil di layar?",2.5, 2.5,True
runtunan,c7775f57e8e6ea5825fbc8b7460a425ae0744a7800af2d681d6735507ea26506,2025-08-24T04:50:46.366109Z,"apel <- 7
jeruk <- 2
cetak (apel / jeruk)
jeruk <- jeruk + 5
cetak (jeruk)
Apa yang tampil di layar?",3.5 7, 7 2,False
percabangan,bfec09e1d939baddcd79988b631f2171728ec8cab8baab6f6ff9ab8716e3e71b,2025-08-24T04:50:47.162902Z,"x <- 2
y <- 5
IF x < y THEN {
cetak (x)
cetak (y)
cetak (y - x)
}
Apa yang tampil di layar?",2 5 3, 2 5 3,True
runtunan,dbb2eb0a642c0446c87d32f94f79a64f53197818c48dfb73e4a7ed9bf9fbc6e0,2025-08-24T04:50:47.186139Z,"m <- 8
n <- 5
cetak (m + n)
m <- m - 3
cetak (m)
Apa yang tampil di layar?",13 5, 5 13,False
runtunan,d4aa8d22034b4451d049666e9e885e5229aa4953c3d4917aa9a74d621de43651,2025-08-24T04:50:48.199242Z,"p <- 7
q <- 10
cetak (q - p)
q <- q / p
cetak (q)
Apa yang tampil di layar?",3 1.4285714286, 7 1,False
percabangan,7480e1bddc499bff4bd45e71d3c61c8a7a63021571994f23f11bb073055fdf1a,2025-08-24T04:50:48.932517Z,"p <- 10
q <- 12
IF p > q THEN
cetak (p)
ELSE
cetak (q)
Apa yang tampil di layar?",12, 12,True
runtunan,ef93e27790201662991c3bb6377d5f29b062d14c9da8960f4854f7d77fe25b23,2025-08-24T04:50:49.508434Z,"x <- 12
y <- 4
cetak (y)
x <- x/y
cetak (x)
Apa yang tampil di layar?",4 3, 4 3,True
runtunan,d87e1f6cba5a877920066b29e89bfd64dd1f5fadfd0e6fe594cd868df5fe362f,2025-08-24T04:50:50.542390Z,"bola <- 3
buku <- 5
cetak (bola)
cetak (buku)
cetak (bola * buku)
Apa yang tampil di layar?",3 5 15, 3 5 15,True
percabangan,f1181585585be28d04045bde6d333c1cf4f9e3bc242437d0ca754de7fddc8969,2025-08-24T04:50:50.744991Z,"p <- 3
q <- 1
IF p > q THEN {
cetak (p)
cetak (q)
cetak (p + q)
}
Apa yang tampil di layar?",,3 1 4,True
percabangan,21db607d1b2e8c8d12f0c548e5e3e4872f3252cc88512df417fb52ee2c6560db,2025-08-24T04:50:51.412088Z,"x <- 15
y <- 20
IF x > y THEN
cetak (x)
ELSE
cetak (y)
Apa yang tampil di layar?",20, 20,True
runtunan,ffc8b655632bb9d5af2817010fa021125f80db3f4aa8ad61418b3ff33040a99f,2025-08-24T04:50:51.626433Z,"x <- 6
y <- 4
cetak (x)
x <- x / 2
cetak (x)
y <- y + x
cetak (y)
Apa yang tampil di layar?",,6 3 7,True
runtunan,f97733825939c677e402d17335186f9b6c1e8f6eb91bfccc0e7b7a8945e9579c,2025-08-24T04:50:52.341595Z,"kursi <- 10
lampu <- 5
cetak (kursi - lampu)
kursi <- kursi / 5
cetak (kursi)
Apa yang tampil di layar?",5 2, 2 5,False
percabangan,e5a0bca7feadc07f6fcc85e4192cc8245d718aa888c0a1556c2e887566fc7cd8,2025-08-24T04:50:52.580933Z,"p <- 27
q <- 9
IF p > q THEN
cetak (p / q)
Apa yang tampil di layar?",3, 3,True
percabangan,012af50eb556488f769fb72b513319e21c261e2055d999af733c107927e363a6,2025-08-24T04:50:54.566294Z,"a <- 6
b <- 2
IF a > b THEN {
cetak (a)
cetak (a - b)
cetak (a * b)
}
Apa yang tampil di layar?",6 4 12, 6 4 12,True
runtunan,5a581fe23ad2ee5c365e3ff956208e5ac3a74f216d1d379854a5f8ea1d4e5ec1,2025-08-24T04:50:54.574073Z,"r <- 8
s <- 5
cetak (r + s)
s <- s - 2
cetak (s)
Apa yang tampil di layar?",13 3, 13 3,True
runtunan,4f609cf2f13e31ff80a84977b99537e2c80f319615efdf9570556b098a574bee,2025-08-24T04:50:54.656922Z,"p <- 6
q <- 2
cetak (p-q)
q <- q+3
cetak (q)
Apa yang tampil di layar?",4 5, 4 5,True
runtunan,476c20c7d4317f08f88ca2289b41e734cff3b36d891347045619bb7bbe2814ff,2025-08-24T04:50:56.350140Z,"m <- 8
n <- m/2
cetak (n)
m <- n+3
cetak (m)
Apa yang tampil di layar?",4 7, 4 7,True
percabangan,016ba9dd5b1b1005b5f50c4e48a56409e7f04bfc761d826d1c9ce789a650a959,2025-08-24T04:50:56.869947Z,"a <- 6
b <- 6
IF a > b THEN {
cetak(a + b)
} ELSE {
cetak(a * b)
}
Apa yang tampil di layar?",Tidak ada output, Tidak ada output,False
runtunan,be9a23fbc9aa61976a3356b59844282223c3c48aa8c863f363b7b493319289fa,2025-08-24T04:50:57.372369Z,"komputer <- 9
mouse <- 3
cetak (komputer / mouse)
mouse <- mouse + komputer
cetak (mouse)
Apa yang tampil di layar?",3 12, 3 12,True
percabangan,d3b2c1988cd728ff5a6e032b7164911598cd1514df4cb44196ccdececeebb141,2025-08-24T04:50:57.443789Z,"p <- 4
q <- 6
IF p + q = 10 THEN
cetak(p * q)
ELSE
cetak(q - p)
Apa yang tampil di layar?",,24,True
runtunan,1794133870a6318463aad217d6086045d45a627de43b7098f13299a591e47a99,2025-08-24T04:50:58.457099Z,"kucing <- 5
anjing <- 3
cetak (kucing + anjing)
kucing <- kucing - anjing
cetak (kucing)
Apa yang tampil di layar?",8 2, 8 2,True
percabangan,0745af67b7ee5501851e490fbf869e75c9e8328e2a108d6deeca06e319601ce5,2025-08-24T04:50:58.644293Z,"a <- 4
b <- 5
IF a + b > 10 THEN {
cetak(a * b)
} ELSE {
cetak(b - a)
}
Apa yang tampil di layar?",Tidak ada output, Tidak ada output,False
